Electric Vehicle Registrations by State,,,,
State, Registration Count ,,,
"""Alabama"",","1450,",,,
"""Alaska"",","530,",,,
"""Arizona"",","15000,",,,
"""Arkansas"",","520,",,,
"""California"",","256800,",,,
"""Colorado"",","11700,",,,
"""Connecticut"",","4450,",,,
"""Delaware"",","720,",,,
"""District Of Columbia"",","970,",,,
"""Florida"",","25200,",,,
"""Georgia"",","15300,",,,
"""Hawaii"",","6590,",,,
"""Idaho"",","1080,",,,
"""Illinois"",","12400,",,,
"""Indiana"",","3030,",,,
"""Iowa"",","1090,",,,
"""Kansas"",","1610,",,,
"""Kentucky"",","1240,",,,
"""Louisiana"",","1110,",,,
"""Maine"",","750,",,,
"""Maryland"",","8080,",,,
"""Massachusetts"",","9760,",,,
"""Michigan"",","4210,",,,
"""Minnesota"",","4740,",,,
"""Mississippi"",","390,",,,
"""Missouri"",","3450,",,,
"""Montana"",","500,",,,
"""Nebraska"",","850,",,,
"""Nevada"",","4810,",,,
"""New Hampshire"",","1120,",,,
"""New Jersey"",","12100,",,,
"""New Mexico"",","1260,",,,
"""New York"",","16600,",,,
"""North Carolina"",","7320,",,,
"""North Dakota"",","170,",,,
"""Ohio"",","6510,",,,
"""Oklahoma"",","3290,",,,
"""Oregon"",","12400,",,,
"""Pennsylvania"",","7990,",,,
"""Rhode Island"",","600,",,,
"""South Carolina"",","1950,",,,
"""South Dakota"",","260,",,,
"""Tennessee"",","3980,",,,
"""Texas"",","22600,",,,
"""Utah"",","5220,",,,
"""Vermont"",","1060,",,,
"""Virginia"",","8370,",,,
"""Washington"",","28400,",,,
"""West Virginia"",","230,",,,
"""Wisconsin"",","3680,",,,
"""Wyoming"",","170,",,,
"""Total"",","543610,",,,
